Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2019-09-18,"“Please save your praise. We don’t want it,” Swedish Climate Activist Greta Thunberg told the USA Senate Climate Change Task Force. “Don’t invite us here to tell us how inspiring we are without doing anything about it because it doesn’t lead to anything.”","Disputing Trump Claims, Japan Says No Evidence Iran Was Behind Saudi Attack: Japanese defense minister Taro Kono.""We believe the Houthis carried out the attack based on the statement claiming responsibility.""",Instagram Blocks Users Under 18 From Seeing Posts Promoting Certain Cosmetic Surgery And Diet Products,Netanyahu cancels trip to U.N. as he appears to fall short in Israel elections,"New Documents Show Pentagon Spent At Least $184,000 in U.S. Taxpayer Funds at President Trump’s Turnberry Resort",Duterte Says He Ordered a Politician Killed; a Spokesman Says He Misspoke,"Netanyahu's main election rival, Gantz, says it appears prime minister lost",Greta Thunberg to Congress: 'Don't listen to me. Listen to the scientists',EU's Michel Barnier tells Boris Johnson to stop 'pretending' to negotiate Brexit,'This Is a Global Fight.' Cantonese Pop Diva Denise Ho Wants the World to Stand Up With Hong Kong,Tory minister apologises for ‘accidentally’ approving illegal sale of military equipment to Saudi Arabia | The Independent,Obama meets with Greta Thunberg: 'One of our planet's greatest advocates',"US-Russia nuclear war would kill 34 million people within hours and is increasingly likely, Princeton study concludes","Saudi Arabia says ""We don't know"" who attacked its oil sites after U.S. accuses Iran",Japan defense minister: Not aware of any Iran involvement in Saudi attacks,"70% of Britons back single-use plastic ban, poll claims - Most thought retailers should stop selling these items because of their environmental impact",Covering up the corruption: GOP tries to block probe of Mike Pence's Ireland trip.,"Saudi Arabia Owns the 45th Floor of Trump Tower, and It Shows",Greta Thunberg to Congress: ‘You’re not trying hard enough. Sorry’,"Climate change: It's right to be scared, says top UK scientist. Sir David King stressed the situation was so grave that the UK should consider bringing forward the date for cutting emissions of greenhouse gases to almost zero from 2050 to 2040.","Voting age should be lowered to 16 to avert climate breakdown, UK think tank says - Without urgent action by the current political leaders, future generations will face huge environmental damage, report warns",Chinese national pleads guilty to running 'birth tourism' scheme in US,Top Chinese state-media editor posted on China’s Twitter-like service Weibo to complain about Internet censorship. His post was deleted,"'Netanyahu Failed, We Succeeded': Gantz Says Talks Underway to Form Unity Government",Ecuador's parlament legalizes medical marijuana
2019-09-19,"'Total Massacre' as U.S. Drone Strike Kills 30 Farmers in Afghanistan | Amnesty International said the bombing ""suggests a shocking disregard for civilian life.""",Burger King UK has removed all plastic toys from its children's meals from today after two sisters started a petition. The fast food chain says the move will save an estimated 320 tonnes of waste annually.,EU gives Boris Johnson ultimatum: Show us Brexit plan in 12 days or ‘it’s over’,Pompeo inadvertently admitted the Iran crisis is a 'direct result' of Trump’s actions,Trump ‘promise’ to mystery foreign leader prompted US intelligence official to file formal whistleblower report; Putin and emir of Qatar among leaders who spoke to president around time inspector general issued ‘urgent concern’ notification,Millions expected to make Friday climate protest the largest in history,"‘We Tracked Your Social Media, You’re Gay’: Russian Student Threatened With Expulsion",Bill Gates says where you were born is the biggest predictor of your success — and it's a glaring sign of global inequality,'This Really Is Something': UN Chief Praised for Move to Block Coal-Backing Nations From Speaking at Climate Summit | In all the time I have worked on climate change I’ve never seen the UN take a powerful stand like this,A Siberian shaman has been kidnapped by armed and masked men thought to be security officials during his journey across Russia to ‘expel’ President Putin from power,Millions may risk jail as Indonesia to outlaw sex outside marriage,Netanyahu rival Benny Gantz declares his party has come out on top in Israel election,U.S. drone strike kills 30 pine nut farm workers in Afghanistan,"US Airstrike Kills Over 20 Peanut Collectors in Nangarhar, Afghanistan","Smartphones hurting the environment more than any other household electronics - Extending the lifespan of electrical goods, such as smartphones, washing machines and laptops, could cut 10 million tonnes of CO2 emissions in the EU each year",One month on and the Amazon fires are still raging,"Black carbon particles found in human placentas | Pollution emitted from vehicles, factory smokestacks or coal power plants may be able to penetrate the placenta in pregnant women, researchers said on Tuesday",Alarming Trump 'Promise' to Foreign Leader Reportedly Sparked Whistleblower Complaint Intel Chief Is Hiding From Congress,"Netanyahu 'played Trump using misinformation' several times, says Tillerson; 'In dealing with Bibi, it’s always useful to carry a healthy amount of skepticism'","Trump’s communications with foreign leader are part of whistleblower complaint that spurred standoff between spy chief and Congress, former officials say","UK 'cannot meet' EU deadline for Brexit plan and needs another year, government says","Condemning Pompeo Warmongering, Sanders Says 'Attack on Saudi Oil Is Not an Attack on America': “We will not let you drag the American people into another catastrophe in the Middle East.""","The murder of a lawyer for a key witness in a major Dutch organised crime trial has sparked outrage and calls for a tougher crackdown on violent underworld gangs. Derk Wiersum, a 44-year-old father of two, was gunned down in the street shortly after leaving his house in Amsterdam.",Reef protection laws pass despite industry attacks on their scientific basis - Queensland’s government will limit the agricultural pollution harming the Great Barrier Reef,"After falling short in Israel's election, Netanyahu set to confront his legal fate"
2019-09-20,Trump asked Ukraine president to investigate Biden's son eight times in one phone call: report,"Tensions rise in the Australian outback as Christian missionaries destroy sacred Aboriginal artefacts, claiming that Aboriginal culture is a form of devil worship.",Australia banned from speaking at UN Climate Change Summit in unprecedented rebuke,Giuliani Says He Asked Ukraine to Probe Biden Seconds After Denying it in Trainwreck CNN Interview,"Jeff Bezos unveils sweeping plan to tackle climate change. Bezos says Amazon is committed to meet the goals of the Paris climate agreement 10 years early. Bezos expects 80% of Amazon’s energy use to come from renewable sources by 2024, before transitioning to zero emissions by 2030","Hong Kong police used ‘retaliatory violence’ and torture against arrested protesters, according to Amnesty International report |",'There is no planet B': Protests worldwide call for action on climate change,“Young People Have Had Enough”: Global Climate Strike Youth Activists on Why They Are Marching Today,Trump on Speaking to Ukraine Leaders About Biden: ‘It Doesn’t Matter What I Discussed’,‘Of course I did’: Giuliani acknowledges asking Ukraine to investigate Biden,"TikTok may be censoring Hong Kong protests, Washington Post reports","Trudeau vows to ban military-style assault rifles, including AR-15","Whistleblower complaint about President Trump involves Ukraine, according to two people familiar with the matter","Thousands of Scientists From 40 Nations Join Global Climate Strike: ""Students have led and we must follow—in defense of the scientific truths our colleagues have discovered over the decades, and of the planet we love.""","Trump threatens to release ISIS captives at European borders - ""At some point, I'm going to have to say, 'I'm sorry, but you either take them back or we're going to let them go at your border,'""",Twitter closes thousands of fake news accounts worldwide,Toronto to join 800 other governments in declaring climate emergency,500 million bees have died in Brazil in three months,Chinese journalists to be tested on loyalty to Xi Jinping - Exam will test journalists on president’s teachings on socialism and propaganda,Iraqi Kids Test Positive for Depleted Uranium Remnants Near Former US Air Base,UK Police arrest journalist wearing press pass during climate protest - Body camera footage shows photographer identifying himself as member of the media,"Birds Are Vanishing From North America: The number of birds in the United States and Canada has declined by 3 billion, or 29 percent, over the past half-century, scientists find.",Hundreds join student's climate-change pledge: No kids until Canada takes action | 18-year-old McGill University student pledges to not have children until she is sure the Canadian government is taking serious steps to battle climate change - and hundreds more are following in her footsteps,Brazil’s Army Wanted to “Occupy” the Amazon Before. Leaked Audio Reveals Their Plan to Try Again.,Massive Worldwide Climate Change protests happening now.
2019-09-21,"Twitter closes thousands of fake news accounts, including 4,302 Chinese accounts targeting Hong Kong protests","China develops handheld 'crowd control' sonic gun which causes eyes and internal organs to painfully vibrate, causing dizziness and vomiting",Climate strikes: hoax photo accusing Australian protesters of leaving rubbish behind goes viral - The image was not taken after a climate strike and was not even taken in Australia,"Stop engaging with online trolls altogether, public figures say | Society","Egyptians call for a day of rage, mass protests are currently erupting all over the country against the ruling tyrannical military regime.",Trump to miss key climate crisis talks at UN summit as he chairs religious freedom meeting - Move is latest indication US president has little interest in addressing climate change despite global protests,"Hong Kong protesters burn Chinese flag, clash with police as violence continues","Ukrainian Official: Trump Looking for Dirt ‘To Discredit Biden’. Ukrainian officials see no indication Biden or his son broke their laws. If Trump wants them investigated in Kyiv, his government will need to say why and what for.",Millions take to streets in youth-led rally for climate change action,Protestors call for Scotland to remain in the EU,Iranian Students Set to Start at U.S. Universities Are Barred From Country,Extinction Rebellion: 91-year-old climate protester arrested near port of Dover,'The men who plundered Europe': bankers on trial for siphoning €60bn - Martin Shields and Nick Diable are accused of tax fraud in ‘cum-ex’ scandal that exposes City of London’s pursuit of profit,China’s ‘detention’ of Uighurs: Video of blindfolded and shackled prisoners ‘authentic’,Microsoft chief Brad Smith says rise of killer robots is 'unstoppable',"Inspired by Greta Thunberg, worldwide protest demands climate action",Hong Kong protesters personal data leaked by Russian website,"Google’s Processor Makes Three-Minute Calculation For Which Supercomputers Would Take 10,000 Years; To our knowledge, this experiment marks the first computation that can only be performed on a quantum processor,"" wrote the Google researchers",Prince Andrew accuser says she was forced to perform sex acts at 17,"Galapagos island 'to be used by US military' | Reported deal has prompted concerns over potential impact on the environment & Ecuador's sovereignty; Galapagos Islands, 563 miles west of continental Ecuador, are a World Heritage site renowned worldwide for their unique array of plants and wildlife",No crowds as Apple's iPhone 11 hits stores in China,"Guatemala to ban plastic bags, straws, cups beginning 2021",‘Get rid of the prisoners by shooting them’: Australian Commandos tell of war crimes in Afghanistan,"Across the globe, millions join biggest climate protest ever | Young and old alike took to the streets in an estimated 185 countries to demand action to cut emissions and stabilise the climate",Reports: Russia army destroys Israel drone in Damascus airspace
2019-09-22,Chilling video shows Chinese Uyghur Muslims transferred to reeducation camps,"Green Party of Canada would decriminalize all drug possession if elected - Opioid crisis needs a health-care approach, party leader Elizabeth May says","The Amazon is still on fire. Conservation groups blame illegal logging and criminal networks. ""I think it is fundamental that the government sends a signal that illegality is not allowed anymore in the Amazon,"" one expert said.",Toronto man who won $10M in lottery dies under mysterious circumstances in Ethiopia,"Questions over Boris Johnson’s relationship with ex-model ‘awarded £126,000 of public funds’ - Prime minister urged to respond to ‘grave and serious’ allegations that he failed to declare potential conflicts of interest over close friendship with American model turned entrepreneur Jennifer Arcuri​",'Starving’ dogs and puppies found in cages at Polish fur farm,Iran women 'to be allowed into football matches',Someone Is Doxing Hong Kong Protesters And Journalists — And China Wants Them To Keep Going,Chinese Journalists Will Soon Be Tested On Their 'Loyalty' To Xi Jinping | The country's media regulator reportedly notified journalists working in state media that they'll need to pass the test before their press cards can be renewed.,Google signs up to $2bn wind and solar investment | Google has become the largest corporate buyer of renewable electricity by matching the huge energy demand of its global operations and data centres with the electricity generated by renewable energy projects,Hong Kong police fire tear gas after storming shopping mall,London Student jailed after making guns with 3D printer,"Immediate Climate Action Is Needed to Avoid ""Grim"" Future, Scientists Warn | Researchers from 14 countries said climate change is already damaging the planet more than scientists had projected, endangering everything from food supply to the existence of island nations","Russia ships nearly 2,000 tons of refined oil to N. Korea in June and July",Russia Says It Will Keep Source of Hole (& Air Leak) on Soyuz Secret— But NASA Wants to Know,Malta appoints public inquiry into murder of prominent anti-corruption journalist Daphne Caruana Galizia,'The men who plundered Europe': bankers on trial for siphoning €60bn,A crackdown on Islam is spreading across China,Turkish man receives record-breaking jail sentence for insulting Erdoğan | Ahval,"India seizes one tonne of ketamine on boat, arrests six Myanmar crew","Chinese firm's tree-planting initiative wins UN highest environmental award - Ant Forest and its NGO partners have planted some 122 million trees in China's driest areas, which include regions in Inner Mongolia. The trees cover an area of 112,000 hectares.",Brazil favela residents protest after eight-year-old girl is shot,Renewable energy is now a compelling alternative as it costs less than fossil fuels,The UN has welcomed a proposal from Yemen's Iran-backed Houthi rebels to end all attacks on Saudi Arabia as part of a peace initiative,Morrison insists Australia will not be drawn into military conflict with Iran
2019-09-23,"Greta Thunberg warns world leaders that 'we will not let you get away with this' | Addressing the UN climate summit in NYC, she said: ""This is all wrong. I shouldn't be up here. I should be back in school on the other side of the ocean. Yet you all come to us young people for hope. How dare you?""",Trump officials struggle to justify him pressing Ukraine to investigate Hunter Biden while his own children do business around the world,'Deeply disturbing' footage surfaces of blindfolded Uyghurs at train station in Xinjiang,"Climate change targets need to be 'five times more ambitious', say scientists","A visibly angry Greta Thunberg berated world leaders as she addressed a UN climate summit on Monday, accusing them of betraying her generation by failing to tackle greenhouse gas emissions and asking ""How dare you?""","A Labour government will reduce the average full-time working week to 32 hours with no loss of pay within the next decade, UK shadow chancellor John McDonnell has announced.","Roughly 600,000 travelers are stranded around the world after British travel provider Thomas Cook declared bankruptcy.",Police Dressed as Protesters: How Undercover Police in Hong Kong Severely Injured People,"Make climate fight 'sexy,' says Japan's new environment minister","Venus may have been a temperate planet hosting liquid water for 2-3 billion years, until a dramatic transformation starting over 700mya resurfaced around 80% of the planet, says new study - temperate climate might even have been maintained on Venus today had there not been a release of CO2",Boris Johnson repeatedly declines to comment on claims he 'awarded public funds to friend',"On Monday, Greta Thunberg and 15 other young people filed a potentially world-changing lawsuit - they’re suing five of the world’s major carbon polluters on the grounds that the countries are violating their rights as children","According to the new research, thousands of Nepali migrant workers are still waiting in vain for unpaid wages and compensation for building World Cup facilities, despite Qatar’s promises to improve workers’ rights","Trump hopes 'they release' his call with Ukraine's president, in which he says he talked about both Joe and Hunter Biden and 'corruption taking place'","Scotland ‘will soon generate 100% of its power through renewables’ - Wind, solar and hydropower are now Scotland’s main source of electricity, providing around three-quarters of all generation",Russia face Tokyo Olympics ban over ‘inconsistent’ Moscow lab data,Hong Kong police warn officers 'might have to kill someone' as violence escalates,Greta Thunberg warns world leaders that 'change is coming' | Climate News,"Disinformation sites generate over $200 million: Ad revenue has effectively sustained websites flagged as disinformation sources with millions of dollars, according to a study. Despite talk of regulation, experts says the issue needs a ""whole-of-industry solution""","#ShutDownDC Protesters Blockade Capital Streets to Demand Climate Action: ""The decisions that are made in this town don't just affect the people in the U.S., they affect the globe every day.""","The US is understood to have written to UN member states urging them to join a “growing coalition” of countries rallying against abortion, in what seems to be the latest attempt by the Trump administration to rollback women’s rights.","A damning new UN report published Sunday said the world is falling badly behind in the race to avert climate disaster as a result of runaway warming, with the five-year period ending 2019 set to be the hottest ever - the period ""is currently estimated to be 1.1 degrees Celsius above pre-industrial""",French streamers just raised more than 3.5 million euros ($3.9M) towards the Pasteur Institute (Vaccines/Cancer/Rare illnessses research) in the biggest charity stream ever.,"4-Year-Old Syrian Child's Body Dug Up & Removed from Grave. ""Cemetery For Lebanese Only"" Mayor Ordered.",'This is not Mars': Massive Wildfires causes Indonesian Skies turn red
2019-09-24,Facebook removes pro-Trump ‘I Love America’ page that was run by Ukrainians,Melania Trump's anti-bullying slogan #BeBest trends after Donald Trump mocks 16-year-old climate activist Greta Thunberg,Boris Johnson told to resign following Supreme Court defeat and become the 'shortest-serving Prime Minister ever','No religion' officially overtakes Christianity in New Zealand census stats,“Trans-Atlantic Potshots” - Attacks on Greta Thunberg Come from a Coordinated Network of Climate Change Deniers,Democracy Activist Who Called For Chinese President's Resignation Dies in Police Custody,Trump confirms he held back aid to Ukraine as impeachment talk surges,"Activists Unfurl 'Exxon Knew, Make Them Pay' Banner Outside Meeting of Fossil Fuel CEOs Steps From UN Climate Summit","Trump calls on nations to reject globalism, embrace nationalism",Greta Thunberg turns tables on Trump with new Twitter bio quoting his mockery,"Dozens of Hong Kong police caught on video surrounding & kicking a protester in a sealed-off back alley. Police denied the accusation, calling the protester a ""yellow object""","Hong Kong pro-democracy lawmaker hospitalised after being ambushed by 3 men, including 1 who was filming the attack","Climate change 'hitting harder and sooner' than forecast, warn scientists ahead of UN meeting","Boris Johnson ridiculed by British sock makers over claim they are locked out of US market - Sock makers have ridiculed a Boris Johnson claim that red tape locks them out of the US market, one alleging that anything the prime minister says is “likely not to be true”.",Swedish teen activist Greta Thunberg nominated for Nobel Prize,John Bolton and several other Trump administration officials urged Trump to send Ukraine the withheld $400 million,The World's Wealthiest Families Are Stockpiling Cash as Recession Fears Grow,"Indonesia’s Rainforests Are Burning and They Matter Just as Much as the Amazon: Orangutans and other endangered animals are losing irreplaceable habitat, leading towards their extinction.","If a House Is on Fire, You Don't Add Fuel': 530 Groups Back Call to Rapidly Phase Out Fossil Fuels Worldwide: Widespread support for the Lofoten Declaration comes as world leaders meet in NYC for the U.N. Climate Action Summit",Trump rails against CNN and 'fake news' during a meeting with Singapore's prime minister at the UN,Sky turns blood red in Indonesia as the annual slash and burn of the rainforests intensifies.,"Five women botched Notre-Dame car bomb terror plot by 'using wrong fuel' to light fuse, Paris court hears",Russia formally joins Paris climate agreement,"Turkish man receives record-breaking jail sentence, 12 years and 3 months in jail, for insulting Erdogan on social media",U.K. Speaker Bercow says Parliament must reconvene without delay
2019-09-25,"Iranian president asserts 'wherever America has gone, terrorism has expanded'",China's 'horrific' treatment of Uyghurs condemned by US and more than 30 countries at UN,"White House's ‘transcript’ of Ukraine call unlikely to be verbatim, instead will be reconstruction from staff notes carefully taken to omit anything embarrassing to Trump.",Ukraine's president tells Trump to his face that he doesn't want to be involved in US elections,Ukraine president thought only U.S. side of Trump call would be published,Trump aides were so afraid he'd pressure Ukraine to investigate Biden that they tried to derail his call with the Ukrainian president,"The $47 Trillion Death Sentence For Oil & Gas: Around 130 international banks, all present at the UN climate change summit in New York, have committed themselves to decrease their support and investments in the oil and gas sector the coming years.",Acting director of national intelligence threatened to resign if he couldn’t speak freely before Congress,Global warming causing ocean 'emergency': Scientists to report on ocean 'emergency' caused by warming. It will be the clearest declaration yet on how an overheating world is hammering our oceans and frozen regions. Scientists have been meeting in Monaco to finalise the report.,Former head of Danske Bank unit at heart of €200bn money-laundering scandal found dead,GM fires Mexican workers for aiding US strikers and calling for cross-border fight against automaker,Trump asked Ukraine president ‘if you can look into’ Biden and his son in phone call transcript,"Leading scientists condemn Trump as ""the greatest impediment to climate action in the world right now"": Trump spent just ten minutes at a U.N. summit meant to serve as a ""slingshot"" toward combating the climate crisis",Trump-Ukraine call was referred to DOJ for possible campaign finance violation,US exit from global post union could signal the end of cheap Chinese goods for American online shoppers.,"'Don't buy coastal properties': UN scientists issue stark warning on climate | IPCC warns one billion people will be affected as soon as 2050 because of rising sea levels, water shortages and food insecurity",Plane inspectors involved in Boeing 737 MAX trainings were reportedly underqualified and FAA misled Congress,GM fires Mexican workers for aiding US strikers and calling for cross-border fight against automaker,Volkswagen's CEO and chairman charged in Germany over diesel emissions scandal,"Ukraine Holocaust memorial desecration 'not an isolated case': A Holocaust memorial in southern Ukraine has been defiled with Nazi symbolism. It's the third such incident in a matter of weeks. This time, the anti-Semitic vitriol was directed at President Volodymyr Zelenskiy himself","ACT legalises personal cannabis use, becoming first Australian jurisdiction to do so","Scientists to report on ocean 'emergency' caused by warming | ""At current emissions rates, we are effectively dumping one million tonnes of CO2 into the oceans every hour."" - ""There comes a point where the ocean changes because of the scale of what we are doing.""","Johnson delivers bizarre speech to UN warning of 'terrifying limbless chickens' and comparing Brexit to having 'liver pecked out by an eagle': Sleep-deprived PM gives rambling address to largely empty hall, before cutting trip short to deal with fallout of SC ruling on his suspension of Parliament","New York Times Says Trump Administration Refused to Assist Reporter Facing Arrest in Egypt - ""Unable to count on our own government to prevent the arrest or help free Declan if he were imprisoned, we turned to his native country, Ireland, for help,”",Canberra becomes the first city in Australia to legalize marijuana
2019-09-26,"Donald Trump Claims Mike Pence Also Had Conversations With Ukraine President, Wants Pence Transcripts Released | Donald Trump Made a Surprise Claim in His United Nations Press Conference Wednesday, Apparently Implicating Vice President Mike Pence in the Ukraine Scandal.",Abortion now legal across Australia,Ireland joins international call for a four-day working week,Chinese whistleblower who exposed HIV scandal in China dies,Cheetahs 'face extinction within within 2 years because cubs are sold as pets',Plastic bag use down 90% in England since 5p levy,Whistleblower's complaint is out: Live updates,‘I would like people to panic’ – Top scientist unveils equation showing world in climate emergency,Ukrainian President Says Trump Pledged to Help Him Take Crimea Back from Russia,"Video of police beating protester sparks outrage in Hong Kong - police claims officers were only kicking a ""yellow object""","Boris Johnson could go to jail if he refuses to ask for extension to Brexit negotiations, according to senior judge - Supreme Court could issue rarely-used 'mandamus' order to require prime minister to go to Brussels",Whistle-Blower Is a C.I.A. Officer Who Was Detailed to the White House,"Costa Rica will run on more than 98% renewable energy for a fifth consecutive year, government says",Rudy Giuliani claims he's withholding text messages that will 'protect' him in the Ukraine scandal,"This was ""not the first time"" the Trump administration sealed a presidential transcript for political purposes: Whistleblower complaint",Turkey doctor gets 15 months' jail for revealing pollution cancer risk,Goldman Sachs released a 34-page analysis of the impact of climate change. And the results are terrifying.,Former French president Jacques Chirac dies at 86 (family),Boris Johnson defeated as MPs vote to wreck Conservative conference,"The whistleblower complaint was released to the public Thursday, alleging Trump used the ""power of his office to solicit interference"" from a foreign country in the 2020 election - and that White House officials subsequently tried to ""lock down"" records of that phone call.","Khashoggi murder 'happened under my watch,' Saudi crown prince tells PBS",Abortion decriminalised in NSW (Australia) after bill passes last hurdle,Pentagon letter certified Ukraine had taken action to decrease corruption before White House blocked aid,"Increasing number of mysterious deaths in Hong Kong since the protests started, the most recent being a girl found dead in her school uniform -- there are literally multiple dead bodies found every single day [spreadsheet in comments of original post].","Schiff says whistleblower complaint credible, disturbing"
2019-09-27,"300 men and boys are freed from 'house of torture' Islamic boarding school where they were chained up, raped by staff and starved 'in the name of teaching them the Koran' in Nigeria","Greta Thunberg has hit back at adults who “choose to spend their time mocking and threatening teenagers and children for promoting science”, suggesting they “must simply feel so threatened”.","Secretary of State, Mike Pompeo, is subpeonaed by 3 house committees over Ukraine favors",Japan promotes China as bigger threat than nuclear-armed North Korea,"President Trump Insists He Would Get a Nobel Prize, If 'They Gave It Out Fairly'",Facebook confirms its “standards” don’t apply to Trump - Facebook states politicians are officially exempt from both hate speech rules and fact checking,"Fox News host claimed that Trump's sons stopped doing business deals internationally, only to be proven wrong the following day when Eric Trump touted approval for a new Trump golf resort in Scotland.",'We have made history': Mexico's Oaxaca state decriminalises abortion,"NRA Was 'Foreign Asset' To Russia Ahead of 2016, New Senate Report Reveals","Jamal Khashoggi's fiancée, Hatice Cengiz, demands Saudi Arabia be held accountable for his murder. Nearly 1 year ago, on Oct 2, 2018, Jamal, a Washington Post columnist, vanished after entering the Saudi consulate in Istanbul. Jamal was a Saudi exile and a legal US resident in Virginia.",Boris Johnson could soon be forced to stand down as prime minister to make way for Jeremy Corbyn,"‘I hope he gets impeached,' Canada’s NDP leader Jagmeet Singh jokes about Donald Trump - ‘It’s disgusting that the president could inflame hatred against people and be so divisive'",Trump officials were reportedly so alarmed by his Ukraine call that the transcript had to be printed out and passed around by hand,Greta Thunberg praises protesters as hundreds of thousands expected for Montreal climate march,Justice Department knew about whistleblower complaint involving Trump more than a week before referral,Italian minister urges pupils to skip class for global climate strike - Education minister from new coalition says schools should see absences as ‘justified’,Scotland gets 'toughest climate change laws in the world' as Holyrood vote passed,Former Ukrainian prosecutor says he spoke to Giuliani 'maybe 10 times',"'What Greta said!': Kiwi schoolkids strike for climate. More than 40,000 people packed into the grounds of Wellington's parliament buildings Friday, giving the latest global climate strike a flying start with the largest turnout yet seen in New Zealand",Taiwan president condemns violence against free speech after multiple incidents of Chinese students in Taiwan attacking Hong Kong students & tearing down pro-democracy posters in universities,Boris Johnson referred to police watchdog over potential misconduct,"Turkish couple use their wedding banquet to feed 4,000 Syrian refugees",Boris Johnson could soon be forced to stand down as prime minister to make way for Jeremy Corbyn,"'Even Xi Jinping is ashamed of you' Hong Kong protesters slam Carrie Lam during talks - The statements were overwhelmingly negative, questioning why Lam has failed to hold police officers accountable for abuses against protesters, and the handling of the situation in general.",70 countries have now experienced organized disinformation campaigns
2019-09-28,"China harvesting organs of Uighur Muslims, The China Tribunal tells UN. They were ""cut open while still alive for their kidneys, livers, hearts, lungs, cornea and skin to be removed and turned into commodities for sale,"" the report said.","Climate change: Greta Thunberg calls out the 'haters'. ""Going after me, my looks, my clothes, my behaviour and my differences"". Anything, she says, rather than talk about the climate crisis.","The White House reportedly tried to conceal transcripts of Trump's calls with other world leaders, including Russia's Putin and Saudi Arabia's Mohammad bin Salman",Trump told Russian officials in 2017 he wasn’t concerned about Moscow’s interference in U.S. election,China branded a 'global disinformation superpower' by Oxford Internet Report,Hong Kong protesters say they're prepared to fight for democracy 'until we win or we die',Boris Johnson could be forced out as UK Prime Minister next week,"Silence on Uyghurs because China is powerful - Mahathir; Muslim countries are silent about the persecution of Uyghurs ""because China is a very powerful nation"", said Malaysia Prime Minister Dr Mahathir Mohamad",Russia tells US not to release Trump-Putin transcripts,White House restricted access to Trump's calls with Putin and Saudi crown prince,Japanese minor opposition party head suggests 'wiping out races that have babies like idiots' and questions educational support to poor countries on the reasoning that 'it's impossible to teach dogs'.,Facebook is the most popular social network for governments spreading fake news and propaganda,93% of bottled water tested contained microplastics: Study,Giuliani set to make paid appearance next week at Kremlin-backed conference that includes Putin,Jeremy Corbyn calls on Boris Johnson to resign,Greta Thunberg isn't alone. Meet some other young activists who are leading the environmentalist fight,Climate scientists say Greta Thunberg's efforts are building real momentum,Trump says he raised Hunter Biden allegations with his China go-between - The Washington Post,Thousands rally to support Hong Kong protesters who allege police torture at controversial detention center near China border,Massive Climate Strikes Erupt Worldwide for the Second Week in a Row,White House restricted access to Trump's calls with Putin and Saudi crown prince - CNNPolitics,The White House has restricted access to transcripts of some of President Donald Trump's calls with foreign leaders,"Top NRA officials knew Russians were using ties to NRA to establish connection with next US President, report says",600 People are still missing in the Bahamas weeks after Hurricane Dorian,Trump’s envoy to Ukraine resigns as impeachment gathers pace
2019-09-29,"Boris Johnson is whipping up fears of rioting and deaths on the streets if Brexit is not delivered by 31 October so that he can try to invoke emergency powers and avoid extending the UK’s EU membership beyond that date, Labour’s Brexit spokesman, Keir Starmer, claimed on Saturday.",Benjamin Netanyahu Unable to Form New Israeli Government. Opposition Benny Gantz now has the opportunity to be PM,John Kelly reportedly used to mute the line during calls with world leaders to urge Trump not to discuss sensitive topics,White House concealed potentially damaging calls with foreign leaders,"Wikileaks founder Julian Assange is being kept in solitary confinement for up to 23 hours a day, despite being due for release earlier in September, says his father.",Turkish scientist gets 15-month sentence for publishing environmental study | Science | AAAS,Austrian elections: exit polls show collapse in far-right support | World news,Boris Johnson's own party no longer believes he will keep his promise to deliver Brexit by October 31,Undercover police fire live round into the air amid chaotic scenes on Hong Kong Island,"Saudi King Salman's bodyguard shot dead in personal dispute, state media reports",Billionaire French luxury brand boss accuses teen climate activist Greta Thunberg of 'catastrophism',"Isis bride Shamima Begum will never be allowed to return to UK, says government",A judge in Brazil has issued a restraining order against a former attorney general after he admitted carrying a gun inside the Supreme Court to kill one of the justices.,"China is harvesting thousands of human organs from its Uighur Muslim minority, UN human rights body hears","Queen 'sought advice' on sacking Prime Minister, source claims","Shamima Begum: IS bride can never return to UK, says Home Secretary Priti Patel",Street fires burn in Hong Kong amid running battles between protesters and police,Thomas Cook boss 'sorry' over collapse but defends pay and bonus,Hong Kong protest: Teenager brutally beaten by police speaks out | World News,"Mexican activists take to streets demanding safe, legal abortions",A Russian navy boat was attacked and sunk by a walrus in the Arctic,Thousands of ships fitted with ‘cheat devices’ to divert poisonous pollution into sea,China Organ Harvesting: Country Accused by Human Rights Lawyer,"Former Trump homeland security adviser Tom Bossert says conspiracy theory that Ukraine hacked the DNC in 2016 has been ""debunked,"" and he condemned Rudy Giuliani for continuing to push it with President Trump",'Beware of parasites': Anti-Jewish posters put up in Warsaw ahead of elections
